Isolate,ST,Replicate,OD600,OD570,Normalized OD570,month,day,year,experiment,plate
91,48,3,0.613,0.379,0.618270799,1,19,2018,1,1
91,48,4,0.548,0.307,0.560218978,1,19,2018,1,1
91,48,5,0.606,0.469,0.773927393,1,19,2018,1,1
91,48,6,0.611,0.462,0.75613748,1,19,2018,1,1
91,48,7,0.631,0.275,0.435816165,1,19,2018,1,1
91,48,8,0.692,0.373,0.539017341,1,19,2018,1,1
91,48,9,0.648,0.242,0.37345679,1,19,2018,1,1
91,48,10,0.563,0.188,0.3339254,1,19,2018,1,1
91,48,11,0.646,0.213,0.329721362,1,19,2018,1,1
91,48,12,0.636,0.265,0.416666667,1,19,2018,1,1
100,48,1,0.507,0.549,1.082840237,1,19,2018,1,1
100,48,2,0.546,0.417,0.763736264,1,19,2018,1,1
100,48,3,0.557,0.566,1.016157989,1,19,2018,1,1
100,48,4,0.563,0.316,0.561278863,1,19,2018,1,1
100,48,5,0.527,0.766,1.453510436,1,19,2018,1,1
100,48,6,0.585,0.36,0.615384615,1,19,2018,1,1
100,48,7,0.604,0.273,0.451986755,1,19,2018,1,1
100,48,8,0.637,0.48,0.753532182,1,19,2018,1,1
100,48,9,0.539,0.395,0.73283859,1,19,2018,1,1
100,48,10,0.544,0.375,0.689338235,1,19,2018,1,1
100,48,11,0.569,0.303,0.532513181,1,19,2018,1,1
100,48,12,0.567,0.418,0.737213404,1,19,2018,1,1
124,48,1,0.453,0.61,1.346578366,1,19,2018,1,1
124,48,2,0.499,0.532,1.066132265,1,19,2018,1,1
124,48,3,0.471,0.486,1.031847134,1,19,2018,1,1
124,48,4,0.462,0.394,0.852813853,1,19,2018,1,1
124,48,5,0.476,0.673,1.413865546,1,19,2018,1,1
124,48,6,0.482,0.367,0.761410788,1,19,2018,1,1
124,48,7,0.466,0.358,0.768240343,1,19,2018,1,1
124,48,8,0.516,0.422,0.817829457,1,19,2018,1,1
124,48,9,0.478,0.632,1.322175732,1,19,2018,1,1
124,48,10,0.494,0.424,0.858299595,1,19,2018,1,1
124,48,11,0.501,0.53,1.057884232,1,19,2018,1,1
124,48,12,0.483,0.543,1.124223602,1,19,2018,1,1
125,48,1,0.478,0.58,1.213389121,1,19,2018,1,2
125,48,2,0.466,0.473,1.015021459,1,19,2018,1,2
125,48,3,0.434,0.604,1.391705069,1,19,2018,1,2
125,48,4,0.445,0.82,1.842696629,1,19,2018,1,2
125,48,5,0.444,0.877,1.975225225,1,19,2018,1,2
125,48,6,0.452,0.765,1.692477876,1,19,2018,1,2
125,48,7,0.474,0.612,1.291139241,1,19,2018,1,2
125,48,8,0.46,0.745,1.619565217,1,19,2018,1,2
125,48,9,0.493,0.843,1.709939148,1,19,2018,1,2
125,48,10,0.459,0.482,1.050108932,1,19,2018,1,2
125,48,11,0.464,1.072,2.310344828,1,19,2018,1,2
125,48,12,0.461,0.708,1.535791757,1,19,2018,1,2
128,48,1,0.68,0.175,0.257352941,1,19,2018,1,2
128,48,2,0.605,0.307,0.507438017,1,19,2018,1,2
128,48,3,0.653,0.246,0.376722818,1,19,2018,1,2
128,48,4,0.557,0.216,0.387791741,1,19,2018,1,2
